,en,vn,thailand,indonesia
order.payment,Payment,Thanh toán,Payment,Payment
order.detail_info,Order Information,Thông tin đơn hàng,Order Information,Order Information
order.order_note,Order note,Ghi chú đơn hàng,Order note,Order note
order.cancel_reason,Cancel Reason,Lý do hủy đơn hàng,Cancel Reason,Cancel Reason
order.cancel_note,Cancel note,Ghi chú lý do hủy đơn,Cancel note,Cancel note
order.product_detail,Order detail,Chi tiết đơn hàng,Order detail,Order detail
order.create_order,Create Order,Tạo đơn hàng,Create Order,Create Order
order.postal_code,Postal Code,Mã bưu chính,Postal Code,Postal Code
order.enter_phone,Enter phone,Nhập số điện thoại người nhận,Enter phone,Enter phone
order.enter_address,Enter complete address,Nhập địa chỉ giao hàng,Enter complete address,Enter complete address
order.enter_postal_code,Enter postal code,Nhập mã bưu chính,Enter postal code,Enter postal code
order.discount,Discount,Chiết khấu,Discount,Discount
order.order_type,Order type,Loại đơn hàng,Order type,Order type
order.order_type_pl,Select order type,Chọn loại đơn hàng,Select order type,Select order type
order.list_errors,Errors,Lỗi,Errors,Errors
order.download_excel,Download Excel,Tải file excel,Download Excel,Download Excel
order.sync_to_pos,Sync to POS,Sync to POS,Sync to POS,Sync to POS
order.order_ref_code,Order Ref Code,Order Ref Code,Order Ref Code,Order Ref Code
order.order_reference,Order Reference,Order Reference,Order Reference,Order Reference
order.input_marketer,Select Marketer,Select Marketer,Select Marketer,Select Marketer
order.sales,Sales,Sales,Sales,Sales
order.input_sales,Select Sales,Select Sales,Select Sales,Select Sales
order_pay.COD,COD,Trả khi nhận hàng,COD,COD
order_pay.ADVANCE_PAYMENT,Prepayment,Thanh toán trước,Prepayment,Prepayment
order_pay.DEFERRED_PAYMENT,Pay later,Thanh toán sau,Pay later,Pay later
order_detail.page_title,Order,Chi tiết đơn hàng,รายละเอียดการสั่งซื้อ,Detail pesanan
order_detail.status,Status,Trạng thái,สถานะ,Status
order_detail.created_by,Created by,Tạo bởi,สร้างโดย,Dibuat oleh
order_detail.created_time,Created Time,Ngày tạo,วันที่สร้าง,Tanggal dibuat
order_detail.product,Product,Sản phẩm,สินค้า,Produk
order_detail.summary,Summary,Tổng quan,ภาพรวม,gambaran ikhtisar
order_detail.product_name,Name,Tên,ชื่อ,Nama
order_detail.properties,Properties,Thuộc tính,คุณสมบัติ,Properti
order_detail.address_detail,Complete Address,Địa chỉ chi tiết,ที่อยู่โดยละเอียด,Alamat lengkap
order_detail.district,District,Quận/huyện,อำเภอ,Distrik
order_detail.city,Province,Tỉnh/thành phố,จังหวัด/เมือง,Provinsi/kota
order_detail.contact,Contact,Khách hàng,ลูกค้า,Pelanggan
order.price_gt_0,Price must be greater than 0,Giá tiền phải lớn hơn 0,Price must be greater than 0,Price must be greater than 0
order_detail.price,Price,Giá,ราคา,Harga
order.quantity_gt_0,Quantity must be greater than 0,Số lượng phải lớn hơn 0,Quantity must be greater than 0,Quantity must be greater than 0
order_detail.quantity,Quantity,Số lượng,จำนวน,Jumlah
order_detail.total,Total,Thành tiền,เป็นเงิน,Total Pembayaran
order_detail.fullname,Fullname,Thành tiền,ชื่อลูกค้า,Nama Pelanggan
order_detail.phone,Phone,SDT,หมายเลขโทรศัพท์,SDT
order_detail.address,Address,Địa chỉ,ที่อยู่,Alamat
order_detail.note,Note,Ghi chú,หมายเหตุ,Catatan
order_detail.total_amount,Total amount,Tổng tiền,จำนวนเงินทั้งหมด,Total Pembayaran
order_detail.header,Orders,Đơn hàng,คำสั่งซื้อ ,Pesanan
order_detail.confirm_del_message,Are you sure to delete ?,Bạn có muốn xoá ?,คุณต้องการที่จะลบ?,Apakah Anda ingin menghapus?
order_detail.no,No,Không,ไม่ใช่,Tidak
order_detail.yes,Yes,Có,ใช่,Ada
order_detail.back,Back,Quay lại,Back,Back
order_detail.ok,Ok,Đồng ý,ตกลง,Setuju
order_detail.add_property,Add properties,Thêm thuộc tính,เพิ่มคุณสมบัติ,Tambahkan atribut
order_detail.reason,Reason,Lý do hủy,เหตุผลในการยกเลิก,Alasan pembatalan
order_detail.add_reason,Add Reason,Thêm lý do,เหตุผลเพิ่มเติม,Alasan lainnya
order_detail.select_property,Select property,Chọn thuộc tính,เลือกคุณสมบัติ,Pilih atribut
order_detail.shipping,Shipping,Vận chuyển,ขนส่ง,Pengiriman
order_detail.carrier,Carrier,Đối tác,พันธมิตร,Pasangan
order_detail.tracking_number,Tracking number,Mã vận đơn,รหัสใบตราส่งสินค้า,Kode pesanan
order_detail.shipping_fee,Temporary shipping fee,Phí vận chuyển tạm tính,ค่าขนส่งชั่วคราว,Biaya pengiriman sementara
order_detail.ads,Ads,Quảng cáo,โฆษณา,iklan
order_detail.tooltip,View more!,Xem thêm,ดูเพิ่มเติม,lihat lebih banyak
order_detail.due_date,Due Date,Ngày hẹn giao,วันที่จัดส่ง,Tanggal janji pengiriman
order_detail.ads,Ads,Nguồn,ที่มา,Sumber
order_detail.package_type,Package Size,Kích thước gói hàng,ขนาดบรรจุ,Ukuran paket
order_detail.temp_total_amount,Temporary total amount,Tổng tiền tạm tính,เงินทั้งหมดชั่วคราว,Jumlah uang sementara
order_detail.tab_activity,Activities histories,Lịch sử hành động,ประวัติการดำเนินการ,Sejarah operasi
order_detail.loadmore,Load More,Xem thêm,ดูเพิ่มเติม,lihat lebih banyak
order_detail.btn_create_exchange,Create exchange order,Tạo đơn hàng đổi trả,สร้างใบสั่งส่งคืน,Dibuat pesanan retur
order_detail.order_exchange_confirm_title,Do you want to make an exchange order from the order?,Bạn có muốn tạo đơn hàng đổi trả từ đơn hàng này không?,คุณต้องการสร้างใบสั่งส่งคืนจากคำสั่งซื้อนี้หรือไม่?,Apakah Anda ingin membuat barang retur dari pesanan ini?
order_detail.order_exchange_confirm_payment,This order has paid yet?,Đơn hàng này đã thanh toán tiền hay chưa?,คำสั่งซื้อนี้ได้รับการชำระเงินแล้วหรือไม่?,Apakah pesanan ini sudah dibayar atau belum?
order_detail.paid,Paid,Đã thanh toán,ชำระแล้ว,Sudah bayar
order_detail.unpaid,Unpaid,Chưa thanh toán,ยังไม่ได้ชำระ,Belum bayar
order_detail.shipping_address,Shipping Information,Thông tin giao hàng,ที่อยู่สำหรับการจัดส่ง,Alamat pengiriman
order_detail.added_to_stock_issue,Order has been added to the stock issue,ไม่สามารถสร้างใบสำคัญส่งออกได้เนื่องจากคำสั่งซื้อที่ไม่ถูกต้อง,เพิ่มคำสั่งซื้อในใบสำคัญส่งออกแล้ว,Pesanan sudah tambahkan ke tagihan pengiriman
order_detail.area,Area,Vùng,ภูมิภาค,Wilayah
order_detail.courier,Courier,Đơn vị vận chuyển,หน่วยจัดส่ง, Pihak Ekspedisi
order_detail.total_payment,Total payment,Tổng tiền thanh toán,ชำระเงินทั้งหมด,Total payment
order_detail.discount,Discount,Giảm giá,Discount,Discount
order_detail.order_discount,Order Discount,Giảm giá,Order Discount,Order Discount
order_detail.payment_info,Payment information,Thông tin thanh toán,Payment information,Payment information
order_detail.pre_paid, Pre-paid,Khách đã trả trước,Pre-paid,Pre-paid
order_detail.amount_pay,Amount to pay,Số tiền khách phải trả,Amount to pay,Amount to pay
order_detail.cod_amount,COD Amount,Số tiền COD khách đã trả,COD Amount,COD Amount
order_detail.payment_type,Payment Type,Loại thanh toán,Payment Type,Payment Type
order_detail.m28_order_code,M28 Order Code,Mã đơn M28,M28 Order Code,M28 Order Code
order_ss.WAITING_INSPECTION,Waiting inspection,Chờ chọn kho,Waiting inspection,Waiting inspection
order_ss.WAITING_CONFIRM,Waiting confirm,Chờ xác nhận,Waiting confirm,Waiting confirm
order_ss.WAITING_PROCESSING,Waiting processing,Chờ xử lý,Waiting processing,Waiting processing
order_ss.WAITING_PICKING,Waiting picking,Chờ nhặt hàng,Waiting picking,Waiting picking
order_ss.WAITING_PACKING,Waiting packing,Chờ đóng gói,Waiting packing,Waiting packing
order_ss.WAITING_DELIVERY,Waiting delivery,Chờ giao hàng,Waiting delivery,Waiting delivery
order_ss.DELIVERING,Delivery,Đang giao hàng,Delivery,Delivery
order_ss.DELIVERED,Delivered,Đã giao hàng,Delivered,Delivered
order_ss.CANCELED,Canceled,Đã hủy,Canceled,Canceled
order_ss.RETURN,Return,Sẽ trả hàng hoặc đang trả hàng,Return,Return
order_ss.RETURN_COMPLETED,Return completed,Đã trả hàng,Return completed,Return completed
order_ss.FAILED_DELIVERY,Failed delivery,Giao hàng lỗi,Failed delivery,Failed delivery
order_payment_ss.UNPAID,Unpaid,Chưa thanh toán,Unpaid,Unpaid
order_payment_ss.PAID,Paid,Đã thanh toán,Paid,Paid
sidebar.dashboard,Dashboard,Trang chủ,หน้าแรก,Ruang halaman
sidebar.logout,Logout,Đăng xuất,ออกจากระบบ,Keluar
sidebar.product,Product,Sản phẩm,สินค้า,Produk
sidebar.customer_contact,Contacts,Số liên hệ,เบอร์ติดต่อ,Nomor hubungi
sidebar.setting,Setting,Cài đặt,การตั้งค่า,Pengaturan
sidebar.contact_status,Contact Status,Trạng thái khách hàng,สถานะลูกค้า,Status Pelanggan
sidebar.contact_detail,Contact Detail,Chi tiết khách hàng tiềm năng,Contact Detail,Contact Detail
sidebar.inventory,Inventory,Quản lý kho,การจัดการสินค้าคงคลัง,Manajemen persediaan
sidebar.products,Products,Sản phẩm,สินค้า,Produk
sidebar.supplier,Supplier,Nhà cung cấp,ผู้ผลิต,pemasok
sidebar.transport,Transport,Vận chuyển,ขนส่ง,Ekspedisi
sidebar.call_status,Last Event Status,Trạng thái cuộc gọi,สถานะการโทร,Status panggilan
sidebar.warehouse,Warehouse,Kho hàng,คลังสินค้า,Gudang
sidebar.stock_receipt,Stock issue,Nhập kho,ใส่สต็อก,Masuk stok
sidebar.campaign,Campaign,Chiến dịch,แคมเปญ,Kampanye
sidebar.order,Orders,Đơn hàng,คำสั่งซื้อ,Pesanan
sidebar.stock,Stocks,Danh sách hàng tồn,รายการสินค้าคงคลัง,Daftar inventaris 
sidebar.issues,Issues,Danh sách phiếu xuất,รายการใบส่งของ,Daftar formulir ekspor
sidebar.receipts,Receipts,Danh sách phiếu nhập,รายการใบรับของ,Daftar formulir masuk
sidebar.users,Users,Nhân viên,พนักงาน,Staf
sidebar.groups,Groups,Nhóm nhân viên,กลุ่มพนักงาน,Grup staf
sidebar.all_order,All Orders,Tất cả đơn hàng,คำสั่งซื้อทั้งหมด,Semua Pesanan
sidebar.all_contact,All Contacts,Tất cả liên hệ,ติดต่อทั้งหมด,Semua kontak
sidebar.vendor,Vendors,Tất cả đối tác,ผู้ขาย,Vendors
sidebar.add_vendor,Add vendor,Thêm mới đối tác,เพิ่มผู้ขาย,Add vendor
sidebar.detail_vendor,Staffs,Nhân viên,รายละเอียดผู้ขาย,Staffs
sidebar.subscriber,Subscribers,Danh sách khách hàng,ลูกค้า,Subscribers
sidebar.payment_statement,Payment Statement,Phiếu kết toán,Payment Statement,Payment Statement
sidebar.package,Inbound Shipment,Kiện nhập,Inbound Shipment,Inbound Shipment
sidebar.setting,Setting,Cài đặt,Setting,Setting
courier_setting.title,Courier setting,Cài đặt đơn vị vận chuyển,Carrier setting,Courier setting
courier_setting.description,Choose a shipping company that will ship your order to the customer,Lựa chọn đơn vị vận chuyển sẽ vận chuyển đơn hàng của bạn đến khách hàng,Choose a shipping company that will ship your order to the customer,Choose a shipping company that will ship your order to the customer
courier_setting.required,You must be choose courier,Bạn phải chọn đơn vị vận chuyển,You must be choose courier,You must be choose courier
payment_statement.title,Payment Statement,Danh sách phiếu kết toán,Payment Statement,Payment Statement
payment_statement.code,Code,Mã phiếu,Code,Code
payment_statement.vendor,Vendor,Vendor,Vendor,Vendor
payment_statement.createdBy,Created By,Người tạo,Created By,Created By
payment_statement.status,Status,Trạng thái,Status,Status
payment_statement.cycle,Period,Chu kỳ,Period,Period
payment_statement.creation_time,Created At,Thời gian tạo,Created At,Created At
payment_statement.filter,Filter,Lọc,Filter,Filter
payment_statement.clear,Clear all filters,Xóa bộ lọc,,Clear all filters
payment_statement.add,Create Payment Statement,Thêm mới kết toán,Create,Create
payment_statement.code_filter,Search code,Tìm mã phiếu,Search code,Tìm mã phiếu
payment_statement.vendor_filter,Select vendor,Tìm vendor,Select vendor,Select vendor
payment_statement.status_filter,Select status,Tìm trạng thái,Select status,Select status
payment_statement.vendor_pl,Select vendor,Chọn đối tác,Select vendor,Select vendor
payment_statement.currency,Currency Unit (Original/ Equivalent),Đơn vị tiền tệ (Nguyên tệ/ Chuyển đổi),Currency Unit (Original/ Equivalent),Currency Unit (Original/ Equivalent)
payment_statement.currency_pl,Select currency unit,Chọn đơn vị tiền tệ,Select currency unit,Select currency unit
payment_statement.type,Type,Loại,Type,Type
payment_statement.amount,Equivalent Currency,Số tiền chuyển đổi,Equivalent Currency,Equivalent Currency
payment_statement.original,Original Currency,Số tiền nguyên tệ,Original Currency,Original Currency
payment_statement.unit_original,Original Currency Unit,Đơn vị nguyên tệ,Original Currency Unit,Original Currency Unit
payment_statement.unit_equivalent,Equivalent Currency Unit,Đơn vị chuyển đổi,Equivalent Currency Unit,Equivalent Currency Unit
payment_statement.convert,Equivalent Currency,Số tiền chuyển đổi,Equivalent Currency,Equivalent Currency
payment_statement.finance,Finance in the period,Tài chính trong kỳ,Finance in the period,Finance in the period
payment_statement.file,Attachment,File đính kèm,Attachment,Attachment
payment_statement.upload,Select file,Chọn file,Select file,Select file
payment_statement.exceed,File must be less than 10MB,File phải nhỏ hơn 10MB,File must be less than 10MB,File must be less than 10MB
payment_statement.edit,Update Payment Statement,Chỉnh sửa tổng hợp kết toán,Update Payment Statement,Update Payment Statement
payment_statement.period,Period,Chu kỳ,Period,Period
payment_statement.require_file,This file is not a valid file,File này không hợp kệ,This file is not a valid file,This file is not a valid file
payment_statement.unit,VND,VNĐ,VND,VND
payment_statement.detail,Payment Statement Detail,Chi tiết phiếu kết toán,Payment Statement Detail,Payment Statement Detail
payment_state.file,File,File,File,File
type_fee.cod_revenue,COD revenue ,Doanh thu COD,COD revenue ,COD revenue 
type_fee.shipping_fee,Shipping fee,Chi phí vận chuyển,Shipping fee,Shipping fee
type_fee.total_service_fee,Total service fee (3) = (3.1)+(3.2)+(3.3)+(3.4),Chi phí dịch vụ Vela (3) = (3.1)+(3.2)+(3.3)+(3.4),Total service fee (3) = (3.1)+(3.2)+(3.3)+(3.4),Total service fee (3) = (3.1)+(3.2)+(3.3)+(3.4)
type_fee.warehouse_fee,Warehouse fee,Dịch vụ xử lý kho vận,Warehouse fee,Warehouse fee
type_fee.telesale_fee,Telesales fee,Dịch vụ chốt đơn,Telesales fee,Telesales fee
type_fee.payment_reconciliation_fee,Payment reconciliation fee,Dịch vụ đối soát thanh toán,Payment reconciliation fee,Payment reconciliation fee
type_fee.vendor_revenue,Vendor revenue (4) = (1)-(2)-(3),Chi phí trả lại cho vendor (4) = (1)-(2)-(3),Vendor revenue (4) = (1)-(2)-(3),Vendor revenue (4) = (1)-(2)-(3)
type_fee.cod_advance_fee,COD advance fee,Chi phí dịch vụ tạm ứng COD,COD advance fee,COD advance fee
payment_statement.request,Request,Yêu cầu,Request,Request
payment_statement.waiting_to_accept,Waiting for accept,Chờ xác nhận,Waiting for accept,Waiting for accept
payment_statement.reject,Reject,Từ chối,Reject,Reject
payment_statement.accept,Accept,Chấp nhận,Accept,Accept
payment_statement.paid,Paid,Đã thanh toán,Paid,Paid
payment_statement.completed,Completed,Hoàn thành,Completed,Completed
error.login failed,Wrong username/email or password. Please try again ,Tên đăng nhập/email hoặc mật khẩu không chính xác,ชื่อผู้ใช้/อีเมลหรือรหัสผ่านไม่ถูกต้อง,Nama pengguna/email atau kata sandi salah
error.Internal Server Error,You have encountered unexpected error. Please refresh website or call us if the problem is still there.,Hệ thống đang gặp sự cố. Vui lòng tải lại trang hoặc liên hệ với kỹ thuật nếu vấn đề còn tồn tại,ระบบกำลังประสบปัญหา โปรดโหลดหน้านี้ซ้ำหรือติดต่อฝ่ายเทคนิคหากปัญหายังคงมีอยู่,Sistem sedang mengalami masalah. Silakan muat ulang atau hubungi teknis jika ada masalah 
error.Authorization Required,Your session is expired. Please sign in,Phiên đăng nhập của bạn đã hết hạn. Vui lòng đăng nhập lại,เซสชั่นการเข้าสู่ระบบของคุณหมดอายุแล้ว กรุณาเข้าสู่ระบบอีกครั้ง,Sesi login Anda tidak valid. Silakan masuk lagi
error.Access Denied,You do not have permission,"Bạn không được cấp quyền cho chức năng này, vui lòng liên hệ quản trị để được hỗ trợ",คุณไม่ได้รับอนุญาตสำหรับฟังก์ชันนี้ โปรดติดต่อผู้ดูแลระบบเพื่อขอรับการสนับสนุน,"Anda tidak diizinkan untuk fungsi ini, silakan hubungi admin untuk mendapatkan dukungan"
error.oops,Oops. Something wrong happened. Please refresh the website or contact with our technical support team if the problem is still there.,Có lỗi xảy ra. Vui lòng tải lại trang hoặc liên hệ với kỹ thuật nếu vấn đề còn tồn tại,เกิดข้อผิดพลาด โปรดโหลดหน้านี้ซ้ำหรือติดต่อฝ่ายเทคนิคหากปัญหายังคงมีอยู่,Kesalahan terjadi. Silakan muat ulang atau hubungi teknis jika ada masalah
error.cannot empty,Cannot be empty!,Không được để trống!,ไม่สามารถเว้นว่างได้!,Tidak boleh dibiarkan kosong!
error.phone_length,Phone length is incorrect,Độ dài số điện thoại không đúng,ความยาวหมายเลขโทรศัพท์ไม่ถูกต้อง,Panjang nomor telepon salah
error.phone_pattern,Wrong phone format,Sai định dạng số điện thoại,รูปแบบหมายเลขโทรศัพท์ไม่ถูกต้อง,Format nomor telepon salah
error.error404,The page you are trying to access does not exist,Trang bạn truy cập không tồn tại,ไม่มีหน้าที่คุณเยี่ยมชม,Halaman yang Anda masuk tidak ada
error.not_found,Oops! Page not found,Rất tiếc! Không tìm thấy trang,ขอโทษ! ไม่พบหน้านี้,Maaf! halaman tidak ditemukan
error.contact_name_length,Contact name length is incorrect,Độ dài tên liên hệ không đúng,ความยาวของชื่อผู้ติดต่อไม่ถูกต้อง,Jumlah angka kontak salah
error.appointment,Re-input appointment date,Nhập lại lịch hẹn gọi,กรอกวันที่นัดหมายอีกครั้ง,Masukkan jadwal kembali untuk panggilan
error.select_carrier,You haven't select carrier,Bạn chưa chọn đơn vị vận chuyển,คุณยังไม่ได้เลือกหน่วยจัดส่ง,Anda belum memilih Pihak pengiriman
error.select_order,You haven't select order,Bạn chưa chọn đơn,คุณยังไม่ได้เลือกคำสั่งซื้อ,Anda belum memilih pesanan
error.length_255,Max length is 255 characters,Tối đa 255 ký tự,สูงสุด 255 ตัวอักษร,Hingga 255 karakter
error.length_160,Max length is 160 characters,Tối đa 160 ký tự,สูงสุด 160 ตัวอักษร,Hingga 160 karakter
error.not_url,Please enter the true format of url,Vui lòng nhập đúng định dạng dường dẫn,กรุณากรอกรูปแบบลิงค์ที่ถูกต้อง,Harap masukkan betul format yang benar
error.product_is_not_active,Product is not active,Sản phẩm chưa được kích hoạt,สินค้ายังไม่ได้เปิดใช้งาน,Produk belum diaktifkan
error.access_denied_update_contact_address,Access denied for update contact address,Không có quyền chỉnh sửa địa chỉ,ไม่อนุญาตให้แก้ไขที่อยู่,Anda tidak ada izin untuk mengedit alamat
loading.loading,Loading,Đang tải,กำลังโหลด,Memuat
network.network,No network connection,Không có tín hiệu mạng Internet,ไม่มีสัญญาณอินเทอร์เน็ต,Tidak ada sinyal internet
message.notification,Notification,Thông báo,การแจ้งเตือน,Pemberitahuan
error.error403,Access Denied,Truy cập bị từ chối,การเข้าถึงถูกปฏิเสธ,Akses ditolak
message.success,Successful,Thành công,สำเร็จ,Berhasil
message.fail,Failure,Không thành công,ไม่สำเร็จ,Gagal
message.add_event_success,Successful,Thêm sự kiện thành công,เพิ่มเหตุการณ์สำเร็จ,Tambah yang sukses
message.code_error,This code existed,Mã kho đã tồn tại,มีรหัสคลังสินค้าอยู่แล้ว,Kode ada di gudang
message.add_event_fail,Failure,Thêm sự kiện thất bại,เพิ่มเหตุการณ์ไม่สำเร็จ,Tambah yang kegagalan
message.warning_quantity,Please enter a quantity to greater than 0,Please enter a quantity to greater than 0,โปรดป้อนปริมาณให้มากกว่า 0,Harap masukkan jumlah yang besar lebih dari 0
message.warning_empty,Please do not empty,Vui lòng không để trống,โปรดอย่าเว้นว่างไว้,Tolong jangan biarkan kosong
message.warning_checking,Please do not enter special characters,Vui lòng không nhập các ký tự đặc biệt,กรุณาอย่าใส่อักขระพิเศษ,Tolong jangan masukkan karakter khusus
message.warning_characters,Please enter 11 or more characters,Vui lòng nhập từ 11 ký tự trở lên,โปรดป้อนอักขระ 11 ตัวขึ้นไป,Silakan masukkan lebih dari 11 karakter 
message.warning_quantity_min,Please enter a number that is greater than or equal to,Please enter a number that is greater than or equal to,โปรดป้อนตัวเลขที่มากกว่าหรือเท่ากับ,Silakan masukkan angka yang lebih besar atau sama 
message.warning_total_quantity,Total smaller,Total smaller,รวมเล็กลง,Total lebih kecil
message.warning_quantity_max_total,Total quantity must in range,Total quantity must in range,ปริมาณทั้งหมดต้องอยู่ในช่วง,Jumlah total harus dalam jangkauan
message.warning_quantity_max,Please enter a quantity less than,Please enter a quantity less than,โปรดป้อนปริมาณที่น้อยกว่า,Harap masukkan jumlah yang lebih kurang
message.valid_url,Invalid URL,Url không hợp lệ,URL ไม่ถูกต้อง,URL tidak valid
message.required,Can't empty,Không để trống trường thông tin này,อย่าปล่อยให้ช่องนี้ว่าง,Jangan biarkan kolom ini kosong
message.required_period,"Something went wrong, please try again later","Đã xảy ra lỗi, vui lòng thử lại sau","Something went wrong, please try again later","Something went wrong, please try again later"
message.fail_detail,Please complete all information on the form,Vui lòng nhập đầy đủ thông tin trên form,กรุณากรอกข้อมูลทั้งหมดในแบบฟอร์ม,Silakan masukkan semua informasi di formulir
message.upgrade_premium,Please upgrade higher package,Vui lòng nâng cấp gói,กรุณาอัพเกรดแพ็คเกจ,Silakan tingkatkan paketnya
message.loading,Loading,Đang tải,กำลังโหลด,Memuat
message.confirm_delete,Are you sure to do this action?,Bạn có chắc chắn muốn thực hiện hành động này?,คุณแน่ใจหรือไม่ว่าจะดำเนินการนี้,Apakah Anda yakin akan melakukan tindakan ini?
message.confirm_export_order_for_shipping_partner,Are you sure to do this action?,Bạn có chắc chắn muốn thực hiện hành động này?,คุณแน่ใจหรือไม่ว่าจะดำเนินการนี้,Apakah Anda yakin akan melakukan tindakan ini?
message.confirm_cancel,Are you sure to do cancel?,Bạn có chắc chắn muốn hủy?,Are you sure to do cancel?,Are you sure to do cancel?
table.number,Number,STT,ลำดับตัวเลข,UN ( uturan numberik)
table.empty,Data is empty,Không có dữ liệu,ไม่มีข้อมูล,Tidak ada data
table.created_at,Created at,Ngày tạo,วันที่สร้าง,Tanggal Dibuat
table.created_by,Created by,Người tạo,วันที่สร้าง,Orang dibuat
table.page,Page,Trang,หน้า,Halaman
table.action,Action,Thao tác,การจัดการ,Manipulasi
table.action_edit,Edit,Chỉnh sửa,แก้ไข,Merubah
table.action_delete,Delete,Xóa,ลบ,Menghapus
table.added_at,Added at,Ngày thêm,วันที่เพิ่ม,Tambah tanggal
table.added_by,Added by,Người thêm,เพิ่มโดย,Orang tambahan
popup-confirm.cancel,Cancel,Huỷ,ยกเลิก,Batal
popup-confirm.confirm,Confirm,Đồng ý,ตกลง,Setuju
global.undefined,Undefined,Chưa cập nhật,ไม่อัพเดท,Tidak memperbarui
user_list.page_title,Users,Danh sách nhân viên,รายชื่อพนักงาน,Daftar Karyawan
user_list.add_user,Create user,Tạo tài khoản,สร้างบัญชี,Buat Akun
user_list.reset_password,Reset password,Thay đổi mật khẩu,เปลี่ยนรหัสผ่าน,Merubah kata sandi
user_list.cf_reset_password,Are you sure you want to reset the password?,Bạn có muốn thay đổi mật khẩu?,คุณต้องการเปลี่ยนรหัสผ่านหรือไม่?,Apakah Anda ingin mengubah kata sandi?
user_list.search_username,Username,Tên đăng nhập,ชื่อผู้ใช้,Nama pengguna
user_list.search_fullname,Full name,Họ và tên,ชื่อและนามสกุล,Nama pertama dan terakhir
user_list.search_email,Email,Địa chỉ email,ที่อยู่อีเมล,Alamat email
user_list.search_phone,Phone,Số điện thoại,หมายเลขโทรศัพท์,Nomor telepon
user_list.search_active,Account status,Tình trạng,สถานะ,Status
user_list.username,Username,Tên đăng nhập,ชื่อผู้ใช้,Nama pengguna
user_list.fullname,Full name,Họ và tên,ชื่อและนามสกุล,Nama lengkap
user_list.email,Email,Địa chỉ email,ที่อยู่อีเมล,Alamat email
user_list.phone,Phone,Số điện thoại,หมายเลขโทรศัพท์,Nomor telepon
user_list.isActive,Account status,Tình trạng,สถานะ,Status
user_list.active,Active,Hoạt động,ที่ใช้งานอยู่,Aktif
user_list.inactive,Inactive,Đã khóa,ถูกล็อค,Terkunci
common.page,Page,Trang,หน้า,Halaman
user_list.all,All,Tất cả,ทั้งหมด,Semua
user_list.id,ID,ID,ไอดี,ID
user_list.active,Active,Kích hoạt,เปิดใช้งานแล้ว,Aktif
user_list.deactive,Deactive,Khóa,ล็อค,Terkunci
common.no_record_found,Found no record,Không tìm thấy bản ghi nào,ไม่พบบันทึก,Tidak ada catatan yang ditemukan
common.clear_filter,Clear,Xóa bộ lọc,ลบฟิลเตอร์,Hapus filter
campaign.title,Campaigns,Chiến dịch,แคมเปญ,Kampanye
campaign.update_campaign,Update Campaign,Sửa chiến dịch,แก้ไขแคมเปญ,Merubah kampanye
campaign.add_campaign,Add Campaign,Thêm chiến dịch,เพิ่มแคมเปญ,Tambah kampanye
campaign.empty_records,Have no contacts yet,Không tồn tại bản ghi nào,ไม่มีบันทึก,Tidak ada yang catatan
campaign.name,Campaign Name,Chiến dịch,แคมเปญ,Kampanye
campaign.ads,Ads,Quảng cáo,โฆษณา,Iklan
campaign.status,Status,Trạng thái,สถานะ,Status
campaign.create_at,Created at,Ngày thêm,สร้างที่,Tambah tanggal
campaign.create_by,Created by,Người thêm,สร้างโดย,Orang tambahan
campaign.new_campaign,New Campaign,Thêm chiến dịch mới,New Campaign,New Campaign
campaign.contact,Contact,Liên hệ,ติดต่อ,Kontak
campaign.search,Search campaign,Tìm kiếm chiến dịch,ค้นหาแคมเปญ,Cari kampanye
campaign.create_ad,Create Ad,Tạo quảng cáo,สร้างโฆษณา,Dibuat iklan
campaign.create_ad_set,Create Ad Set,Tạo nhóm quảng cáo,สร้างกลุ่มโฆษณา,Buat grup iklan
campaign.code,Code,Mã chiến dịch,รหัสแคมเปญ,Kode kampanye
campaign.add_name,Name,Tên chiến dịch,ชื่อแคมเปญ,Nama kampanye
campaign.cancel,Cancel,Hủy,ยกเลิก,Batal
campaign.finish,Finish,Lưu,บันทึก,Simpan
campaign.product,Product,Sản phẩm,สินค้า,Produk
campaign.select,Select,Chọn,เลือก,Memilih
campaign.sale,Sales,Đơn hàng,ใบสั่ง,Pesanan
campaign.fb_campaign_id,Facebook Campaign Id must be a number,Facebook Campaign Id phải là 1 số,รหัสแคมเปญเฟสบุ๊คต้องเป็นตัวเลข,ID Kampanye Facebook harus yang nomor satu
campaign.empty_adset_list,Ad sets are empty. Please create at least an ad set,Nhóm quảng cáo trống. Vui lòng tạo ít nhất một nhóm quảng cáo,กลุ่มโฆษณาว่างเปล่า โปรดสร้างกลุ่มโฆษณาอย่างน้อยหนึ่งกลุ่ม,Grup iklan kosong. Harap buat satu grup iklan
campaign.project,Project,Dự án,โครงการ,Proyek
campaign.useFbAd,Do you use the facebook advertisement ?,Sử dụng facebook advertisement ?,ใช้โฆษณาเฟสบุ๊ค?,Menggunakan facebook iklan?
campaign.import_data_from_facebook,Import data from Facebook,Nhập dữ liệu từ Facebook,นำเข้าข้อมูลจากเฟสบุ๊ค,Impor data dari Facebook
